AL AK AZ AR CA CO CT DE FL GA HI ID IL IN IA KS KY LA ME MD MA MI MN MS MO MT NE NV NH NJ NM NY NC ND OH OK OR PA RI SC SD TN TX UT VT VA WA WV WI WY DC 
"3,900,368" "405,315" "2,737,774" "2,288,738" "23,800,800" "2,908,803" "3,113,174" "594,919" "9,839,835" "5,486,174" "967,710" "947,983" "11,434,702" "5,490,721" "2,914,018" "2,369,039" "3,664,221" "4,223,101" "1,126,860" "4,227,643" "5,746,075" "9,255,553" "4,085,017" "2,525,342" "4,921,966" "788,752" "1,572,296" "810,215" "924,250" "7,376,330" "1,309,400" "17,566,754" "5,898,980" "654,380" "10,800,650" "3,040,758" "2,641,218" "11,868,305" "948,773" "3,134,502" "690,851" "4,600,252" "14,338,208" "1,472,595" "512,524" "5,368,334" "4,154,678" "1,951,349" "4,712,045" "474,185" "638,284"  
"3,918,531" "418,491" "2,810,107" "2,293,201" "24,285,933" "2,977,898" "3,128,836" "595,975" "10,192,774" "5,568,345" "978,195" "962,204" "11,443,458" "5,480,435" "2,907,983" "2,384,849" "3,670,394" "4,283,303" "1,133,033" "4,261,905" "5,768,685" "9,209,287" "4,111,728" "2,539,036" "4,932,064" "795,328" "1,578,515" "847,655" "936,621" "7,407,472" "1,332,748" "17,567,734" "5,956,653" "659,505" "10,788,330" "3,096,164" "2,667,982" "11,858,567" "953,013" "3,179,255" "689,584" "4,627,658" "14,746,318" "1,515,471" "515,594" "5,444,097" "4,235,731" "1,954,124" "4,726,343" "491,712" "636,893"  
"3,925,266" "449,606" "2,889,861" "2,294,257" "24,820,009" "3,061,564" "3,139,013" "599,148" "10,471,407" "5,649,792" "993,780" "973,721" "11,423,412" "5,467,922" "2,888,189" "2,401,202" "3,683,445" "4,352,608" "1,136,684" "4,282,923" "5,771,222" "9,115,198" "4,131,450" "2,556,777" "4,929,451" "803,986" "1,581,780" "881,537" "947,719" "7,430,968" "1,363,823" "17,589,738" "6,019,101" "668,972" "10,757,087" "3,206,123" "2,664,922" "11,845,146" "954,170" "3,207,614" "690,597" "4,646,041" "15,331,415" "1,558,314" "519,109" "5,492,783" "4,276,552" "1,949,604" "4,728,870" "506,400" "634,174"  
"3,934,102" "488,417" "2,968,925" "2,305,761" "25,360,026" "3,133,630" "3,162,354" "605,458" "10,749,851" "5,728,250" "1,012,717" "981,869" "11,408,818" "5,450,395" "2,870,543" "2,415,531" "3,694,484" "4,395,316" "1,144,772" "4,313,327" "5,799,407" "9,047,754" "4,141,456" "2,567,717" "4,943,733" "814,031" "1,584,293" "901,977" "958,134" "7,467,785" "1,394,361" "17,686,905" "6,077,056" "676,688" "10,737,632" "3,290,402" "2,653,066" "11,837,723" "956,382" "3,234,066" "693,008" "4,659,749" "15,751,676" "1,594,943" "523,302" "5,564,657" "4,300,266" "1,945,061" "4,721,438" "510,345" "632,433"  
"3,951,820" "513,702" "3,067,135" "2,319,768" "25,844,393" "3,169,992" "3,180,014" "611,565" "11,039,925" "5,834,954" "1,027,922" "990,839" "11,412,132" "5,458,322" "2,858,618" "2,424,086" "3,695,453" "4,400,477" "1,155,635" "4,365,243" "5,840,773" "9,049,452" "4,157,706" "2,578,051" "4,975,278" "820,905" "1,588,639" "924,922" "976,864" "7,515,473" "1,416,717" "17,745,684" "6,164,006" "680,497" "10,737,746" "3,285,533" "2,666,588" "11,815,172" "961,894" "3,271,868" "697,249" "4,686,737" "16,007,086" "1,622,342" "526,660" "5,643,870" "4,343,656" "1,927,697" "4,735,563" "504,896" "633,382"  
"3,972,523" "532,495" "3,183,538" "2,327,046" "26,441,109" "3,208,723" "3,201,131" "618,280" "11,351,118" "5,962,661" "1,039,698" "994,051" "11,399,806" "5,459,211" "2,829,684" "2,427,405" "3,694,826" "4,408,118" "1,162,936" "4,413,071" "5,880,733" "9,076,293" "4,184,302" "2,588,102" "5,000,268" "822,320" "1,584,664" "951,030" "996,753" "7,565,528" "1,438,361" "17,791,672" "6,253,954" "676,980" "10,734,926" "3,271,332" "2,672,652" "11,770,862" "968,955" "3,303,209" "698,402" "4,715,296" "16,272,734" "1,642,910" "530,035" "5,715,153" "4,400,098" "1,906,831" "4,747,767" "499,695" "634,549"  
"3,991,569" "544,268" "3,308,262" "2,331,984" "27,102,237" "3,237,450" "3,223,740" "627,559" "11,667,505" "6,084,666" "1,051,762" "990,224" "11,387,257" "5,454,108" "2,791,970" "2,432,619" "3,687,809" "4,406,919" "1,170,126" "4,486,957" "5,902,678" "9,127,775" "4,205,212" "2,593,597" "5,023,068" "813,739" "1,574,333" "980,613" "1,025,053" "7,622,159" "1,462,729" "17,833,419" "6,321,578" "669,512" "10,730,268" "3,252,735" "2,683,528" "11,782,752" "977,341" "3,342,758" "696,034" "4,738,708" "16,561,113" "1,662,834" "534,066" "5,811,700" "4,452,720" "1,882,350" "4,755,618" "495,633" "638,269"  
"4,015,264" "539,309" "3,437,103" "2,342,355" "27,777,158" "3,260,480" "3,247,291" "636,947" "11,997,283" "6,208,467" "1,067,918" "984,997" "11,391,178" "5,473,012" "2,767,011" "2,445,367" "3,683,329" "4,344,148" "1,184,574" "4,565,557" "5,935,204" "9,187,481" "4,235,136" "2,588,545" "5,056,696" "805,063" "1,566,547" "1,023,376" "1,054,289" "7,670,742" "1,478,520" "17,868,848" "6,403,700" "661,136" "10,760,090" "3,210,122" "2,700,991" "11,810,866" "989,604" "3,380,506" "696,036" "4,782,927" "16,621,791" "1,678,119" "540,267" "5,932,268" "4,531,901" "1,857,585" "4,777,919" "476,965" "636,930"  
"4,023,844" "541,983" "3,535,183" "2,342,656" "28,464,249" "3,262,281" "3,271,953" "647,622" "12,306,395" "6,316,142" "1,079,828" "985,664" "11,390,183" "5,491,735" "2,768,388" "2,461,996" "3,679,999" "4,288,863" "1,203,840" "4,657,904" "5,979,982" "9,217,998" "4,296,166" "2,580,352" "5,081,736" "800,202" "1,571,477" "1,075,022" "1,082,577" "7,712,333" "1,490,337" "17,941,309" "6,480,594" "655,331" "10,798,552" "3,167,057" "2,741,297" "11,845,752" "996,408" "3,412,096" "698,165" "4,822,437" "16,667,022" "1,689,372" "549,763" "6,036,909" "4,639,893" "1,830,215" "4,822,388" "465,101" "630,432"  
"4,030,222" "547,159" "3,622,185" "2,346,358" "29,218,164" "3,275,818" "3,283,403" "658,273" "12,637,715" "6,411,099" "1,094,588" "994,416" "11,409,782" "5,523,693" "2,770,592" "2,472,849" "3,677,306" "4,252,894" "1,219,961" "4,727,301" "6,015,478" "9,253,295" "4,338,057" "2,574,269" "5,095,830" "799,636" "1,574,864" "1,137,382" "1,104,522" "7,726,089" "1,503,901" "17,983,086" "6,565,459" "646,351" "10,829,217" "3,150,307" "2,790,575" "11,865,996" "1,000,666" "3,456,775" "696,701" "4,854,444" "16,806,735" "1,705,864" "557,707" "6,120,246" "4,746,316" "1,806,568" "4,856,574" "458,374" "624,168"  
